MINERAL,PERCENT,ERROR,sol
Plagioclase,49.7,6.4,2672
Sanidine,4.7,1.2,2672
Pyroxene,14.1,2.0,2672
Hematite,4.8,1.2,2672
Magnetite,12.4,3.4,2672
Apatite,3.8,1.8,2672
Anhydrite,1.2,0.8,2672
Cristobalite,9.3,1.4,2672
Plagioclase,39.6,2.9,2715
Pyroxene,27.6,2.9,2715
Magnetite,14.0,1.8,2715
Fe-forsterite,11.5,2.5,2715
Sanidine,4.6,2.3,2715
Apatite,2.0,1.3,2715
Hematite,0.5,0.8,2715
Quartz,0.2,0.4,2715
Plagioclase,50.4,3.5,2758
Anhydrite,18.5,2.6,2758
Bassanite,3.2,1.9,2758
Cristobalite,0.7,1.0,2758
Apatite,1.0,1.8,2758
Hematite,13.4,3.1,2758
Pyroxene,5.8,3.7,2758
Quartz,3.3,2.8,2758
Sanidine,3.7,8.8,2758
ANDESINE,43.6,2.7,283
SANIDINE,3.1,1.7,283
FORSTERITE,1.8,1.6,283
AUGITE,8.1,2.5,283
PIGEONITE,15.6,3.5,283
ORTHOPYROXENE,8.1,3.1,283
MAGNETITE,8.7,1.9,283
ANHYDRITE,1.6,1.2,283
BASSANITE,1.4,0.7,283
QUARTZ,0.2,0.3,283
HEMATITE,1.3,1.0,283
ILMENITE,1.0,0.9,283
AKAGANEITE,3.4,1.3,283
HALITE,0.2,0.3,283
PYRRHOTITE,1.9,1.1,283
Plagioclase,70.5,4.1,2842
Sanidine,6.3,1.8,2842
Anhydrite,3.9,1.3,2842
Quartz,2.1,0.6,2842
Hematite,2.5,1.6,2842
Fe-carbonate,3.1,0.9,2842
Pyroxene,11.6,3.5,2842
Plagioclase,63.7,2.8,2888
Anhydrite,4.6,1.2,2888
Sanidine,6.3,3.2,2888
Bassanite,4.8,0.5,2888
Hematite,1.9,0.5,2888
Quartz,2.3,1.0,2888
Fe-carbonate,2.5,1.7,2888
Pyroxene,13.9,5.7,2888
Plagioclase,57.0,2.6,2912
Sanidine,4.8,1.6,2912
Anhydrite,11.4,1.0,2912
Bassanite,7.8,0.6,2912
Pyroxene,9.9,3.2,2912
Quartz,1.8,1.2,2912
Fe-carbonate,7.3,2.6,2912
Plagioclase,53.0,1.8,3096
Sanidine,4.2,1.8,3096
Pyroxene,8.8,4.0,3096
Anhydrite,2.0,1.4,3096
Bassanite,5.5,1.4,3096
Gypsum,1.2,0.8,3096
Hematite,21.0,2.2,3096
Quartz,1.7,1.2,3096
Ankerite,2.6,1.8,3096
Plagioclase,58.4,4.4,3171
Sanidine,5.7,3.0,3171
Pyroxene,16.7,1.8,3171
Hematite,9.3,2.0,3171
Goethite,1.7,1.2,3171
Bassanite,3.1,1.6,3171
Gypsum,2.0,0.8,3171
Quartz,1.8,1.0,3171
Halite,1.2,0.6,3171
Plagioclase,37.8,3.2,3292
Bassanite,4.4,0.8,3292
Gypsum,33.7,1.0,3292
Hematite,9.6,2.2,3292
Quartz,1.9,0.6,3292
Pyroxene,12.6,2.2,3292
Plagioclase,41.7,6.0,3517
Anhydrite,12.2,3.8,3517
Bassanite,4.6,1.2,3517
Hematite,17.4,5.0,3517
Goethite,9.9,3.4,3517
Quartz,1.0,1.0,3517
Sanidine,3.5,1.8,3517
Pyroxene ,8.7,1.8,3517
Ilmenite,1.0,1.2,3517
Andesine,44.5,3.2,3614
Gypsum,10.5,1.1,3614
Bassanite,1.1,1.6,3614
Anhydrite,1.6,1.6,3614
Starkeyite,6.1,1.6,3614
Hematite,12.4,2.1,3614
Goethite,5.8,3.2,3614
Quartz,1.3,1.1,3614
Sanidine,8.4,2.1,3614
Pyroxene ,8.4,5.8,3614
Plagioclase,38.2,3.4,3755
Pyroxene,21.8,3.8,3755
Siderite,26.3,2.6,3755
Kieserite,8.0,2.2,3755
Bassanite,3.8,1.8,3755
Anhydrite,2.0,1.2,3755
Plagioclase,37.0,5.8,3825
Pyroxene,15.0,4.0,3825
Siderite,11.9,1.6,3825
Starkeyite,15.9,3.8,3825
Gypsum,5.8,0.8,3825
Bassanite,2.1,0.6,3825
Anhydrite,1.2,1.0,3825
Hematite,5.8,3.4,3825
Goethite,3.0,1.2,3825
Quartz,2.2,0.8,3825
Plagioclase,37.0,2.6,3982
Anhydrite,4.5,1.0,3982
Akaganeite,4.8,2.1,3982
Kieserite,10.2,2.9,3982
Hematite,4.2,2.5,3982
Quartz,1.6,0.8,3982
Pyroxene,24.4,3.1,3982
Siderite,13.3,1.3,3982
Plagioclase,35.1,1.8,4110
Anhydrite,5.5,0.9,4110
Akaganeite,2.3,1.3,4110
Kieserite,2.9,1.1,4110
Hematite,2.7,1.6,4110
Halite,8.7,2.6,4110
Pyroxene,31.8,3.9,4110
Siderite,11.1,4.1,4110
ANDESINE,43.2,2.7,419
SANIDINE,3.4,1.8,419
FORSTERITE,1.8,1.6,419
AUGITE,6.5,2.4,419
PIGEONITE,13.4,3.6,419
ORTHOPYROXENE,11.1,4.1,419
MAGNETITE,8.7,1.9,419
ANHYDRITE,1.8,1.3,419
BASSANITE,2.5,1.2,419
HEMATITE,1.1,0.9,419
ILMENITE,0.5,0.5,419
AKAGANEITE,3.6,1.3,419
HALITE,0.1,0.2,419
PYRRHOTITE,2.1,1.1,419
FELDSPAR,46.5,2.4,474
FORSTERITE,6.9,1.4,474
PYROXENE,25.3,2.1,474
MAGNETITE,6.4,1.7,474
ANHYDRITE,4.6,1.5,474
BASSANITE,2.3,0.7,474
QUARTZ,0.8,0.8,474
HEMATITE,0.9,1.0,474
AKAGANEITE,2.2,1.2,474
HALITE,0.7,0.4,474
PYRITE,0.7,0.5,474
PYRRHOTITE,2.0,0.9,474
ILMENITE,0.7,0.7,474
PLAGIOCLASE,5.6,1.4,624
K-FELDSPAR,21.1,3.5,624
FORSTERITE,5.2,1.4,624
AUGITE,29.0,3.3,624
PIGEONITE,16.7,3.1,624
ENSTATITE,1.0,0.9,624
MAGNETITE,13.8,1.3,624
ANHYDRITE,1.4,1.1,624
BASSANITE,0.2,0.2,624
QUARTZ,0.2,0.2,624
HEMATITE,0.9,0.8,624
AKAGANEITE,2.5,1.2,624
PYRRHOTITE,1.3,0.8,624
ILMENITE,1.1,0.7,624
PLAGIOCLASE,38.3,4.3,766
K-FELDSPAR,9.4,1.3,766
FORSTERITE,2.3,1.3,766
AUGITE,12.0,4.1,766
PIGEONITE,9.9,3.2,766
ORTHOPYROXENE,3.9,5.8,766
MAGNETITE,5.6,1.3,766
QUARTZ,1.3,0.9,766
HEMATITE,12.8,2.8,766
APATITE,2.4,2.8,766
JAROSITE,2.1,1.3,766
ANDESINE,45.8,4.5,79
FORSTERITE,18.2,2.6,79
AUGITE,18.1,3.8,79
PIGEONITE,11.4,4.1,79
MAGNETITE,2.7,1.0,79
ANHYDRITE,2.1,0.7,79
QUARTZ,1.6,0.7,79
PLAGIOCLASE,55.7,3.8,885
AUGITE,5.2,2.6,885
PIGEONITE,10.9,1.7,885
FORSTERITE,0.5,1.9,885
MAGNETITE,7.1,1.4,885
QUARTZ,1.9,0.7,885
HEMATITE,7.1,1.4,885
JAROSITE,7.3,3.8,885
APATITE,4.3,2.4,885
PLAGIOCLASE,43.8,4.5,923
K-FELDSPAR,8.4,3.6,923
FORSTERITE,1.8,1.9,923
PIGEONITE,6.8,1.6,923
ORTHOPYROXENE,5.5,4.2,923
MAGNETITE,13.2,1.5,923
QUARTZ,1.5,0.6,923
CRISTOBALITE,11.8,2.7,923
HEMATITE,1.8,0.8,923
JAROSITE,2.4,2.9,923
APATITE,3.1,0.8,923
ANDESINE,40.8,2.4,95
FORSTERITE,22.4,1.9,95
AUGITE,14.6,2.8,95
PIGEONITE,13.8,2.8,95
MAGNETITE,2.1,0.8,95
ANHYDRITE,1.5,0.7,95
QUARTZ,1.4,0.6,95
SANIDINE,1.3,1.3,95
HEMATITE,1.1,0.9,95
ILMENITE,0.9,0.9,95
